Bridge_Type,BRIDGE,NAME,District_Label,DIST,County_Name,CO,CITY,RTE,PM,YRBLT,Age,Decade_Built,LAT,LON,LENG,MAINSPANS,APPSPANS,DECKWIDTH,DESIGN_MAIN,MATERIAL_MAIN,FAC,LOC,INTERSEC,DATA_EXTRACTED,X,Y,OBJECTID
Local,57C0417,SAN DIEGO RVR (MAGNOLIA AVE),District 11,11,San Diego,SD,SANTEE,00000,0.0,1978.0,48.0,1970,32.84706944,-116.96931944,152.4,12.0,0.0,21.9,01: Slab,2: Concrete Cont,MAGNOLIA AVE,0.6M N/O MISSION GORGE RD,SAN DIEGO RIVER,2024/03/12 09:19:32+00,-13020966.4011,3875023.1724,37965
Local,57C0418,GEORGIA ST / UNIVERSITY AVENUE SEP,District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1914.0,112.0,1910,32.74837222,-117.14503333,21.0,1.0,0.0,9.4,11: Arch - Deck,1: Concrete,GEORGIA ST,0.62 MI E/O SR 163,UNIVERSITY AVE,2024/03/12 09:19:32+00,-13040526.7844,3861952.6457,37966
Local,57C0420L,ALDINE DRIVE UC (FAIRMOUNT AVE),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1960.0,66.0,1960,32.76248056,-117.09764722,57.3,3.0,0.0,10.1,05: Box Beam Or Gdr - Mu,2: Concrete Cont,FAIRMOUNT AVE,1.2 MI S/O RTE I-8,ALDINE DRIVE,2024/03/12 09:19:32+00,-13035251.7858,3863820.1321,37967
Local,57C0420R,ALDINE DRIVE UC (FAIRMOUNT AVE),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1960.0,66.0,1960,32.76238333,-117.09755556,57.3,3.0,0.0,10.1,05: Box Beam Or Gdr - Mu,2: Concrete Cont,FAIRMOUNT AVE,1.2 MI S/O RTE I-8,ALDINE DRIVE,2024/03/12 09:19:32+00,-13035241.5816,3863807.2618,37968
Local,57C0421,CHOLLAS CRK (47TH ST),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1970.0,56.0,1970,32.70703333,-117.09366389,19.5,6.0,0.0,21.6,19: Culvert,2: Concrete Cont,47TH ST,0.3 MI S/O MARKET ST,CHOLLAS CREEK,2024/03/12 09:19:32+00,-13034808.3627,3856482.4198,37969
Local,57C0422,TECOLOTE CREEK CH. (MORENA BLVD),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1957.0,69.0,1950,32.77281944,-117.20293333,16.5,2.0,0.0,16.5,01: Slab,1: Concrete,MORENA BLVD,15FT NW/O TECOLOTE RD,TECOLOTE CREEK CHANNEL,2024/03/12 09:19:32+00,-13046972.1842,3865188.8527,37970
Local,57C0424,CHOLLAS CRK (J ST),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1952.0,74.0,1950,32.709975,-117.12166389,17.7,1.0,0.0,10.1,04: Tee Beam,1: Concrete,J ST,"175 FT E/O 33RD, S/O MRKT",CHOLLAS CREEK,2024/03/12 09:19:32+00,-13037925.3089,3856871.596,37971
Local,57C0425,CHOLLAS CREEK (NATIONAL AVE),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1976.0,50.0,1970,32.69588889,-117.12274722,47.5,4.0,0.0,23.2,01: Slab,2: Concrete Cont,NATIONAL AVE,0.2MI E/O 32ND ST,CHOLLAS CREEK,2024/03/12 09:19:32+00,-13038045.905,3855008.1492,37972
Local,57C0426,MISSION BAY CHNL (W MISSION BAY DR),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1972.0,54.0,1970,32.76681667,-117.24055833,362.1,9.0,0.0,25.0,02: Stringer/Multi-Beam,5: Prestress Conc,W MISSION BAY DR,0.5MI E/O MISSION BLVD,MISSION BAY CHANNEL,2024/03/12 09:19:32+00,-13051160.5806,3864394.151,37973
Local,57C0428,LOS PENASQUITOS CRK (SORRENTO VLY),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1986.0,40.0,1980,32.90567222,-117.22720833,64.0,4.0,0.0,25.6,01: Slab,6: Prstr Conc Cont,SORRENTO VLY RD,0.9 MI S/O CARMEL MTN RD,LOS PENASQUITOS CREEK,2024/03/12 09:19:32+00,-13049674.4663,3882790.845,37974
Local,57C0429,ENCINITAS CREEK (LA COSTA AVE),District 11,11,San Diego,SD,CARLSBAD,00000,0.0,1967.0,59.0,1960,33.08514444,-117.26947778,14.8,3.0,0.0,36.9,19: Culvert,1: Concrete,LA COSTA AVE,180FT W/O EL CAMINO REAL,ENCINITAS CREEK,2024/03/12 09:19:32+00,-13054379.8817,3906611.5628,37975
Local,57C0430,TIJUANA RIVER (HOLLISTER ST),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1953.0,73.0,1950,32.55082222,-117.08405556,249.3,43.0,0.0,8.9,02: Stringer/Multi-Beam,7: Wood Or Timber,HOLLISTER ST,1.6MI S/O CORONADO AVE,TIJUANA RIVER,2024/03/12 09:19:32+00,-13033738.7665,3835834.401,37976
Local,57C0433,ENCANTO CREEK (MERLIN DR),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1940.0,86.0,1940,32.70955,-117.071125,11.9,2.0,0.0,12.2,01: Slab,2: Concrete Cont,MERLIN DRIVE,150 FT S/O MARKET ST,ENCANTO CREEK,2024/03/12 09:19:32+00,-13032299.3446,3856815.3689,37977
Local,57C0434,S. BR CHOLLAS CRK (40TH ST),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1964.0,62.0,1960,32.69332778,-117.10806944,24.4,3.0,0.0,15.8,01: Slab,2: Concrete Cont,40TH ST,0.17 MI S/O NAT'L BLVD,SOUTH BRANCH CHOLLAS CRK,2024/03/12 09:19:32+00,-13036411.9819,3854669.3725,37978
Local,57C0435,S. BR. CHOLLAS CRK (OCEANVIEW BLVD),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1982.0,44.0,1980,32.70044167,-117.10403333,10.7,1.0,0.0,15.8,01: Slab,1: Concrete,OCEANVIEW BLVD,0.25 MI E/O 40TH ST,SO. BRANCH CHOLLAS CREEK,2024/03/12 09:19:32+00,-13035962.6841,3855610.4026,37979
Local,57C0436,MESA CREEK (DAIRY MART RD),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1978.0,48.0,1970,32.55618889,-117.06231389,13.4,1.0,0.0,23.7,02: Stringer/Multi-Beam,5: Prestress Conc,DAIRY MART ROAD,0.15 MI S/O ROUTE I-5,MESA CREEK,2024/03/12 09:19:32+00,-13031318.4949,3836543.1712,37980
Local,57C0438,SAN PASQUAL VL CRK (OLD MILKY WAY),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1950.0,76.0,1950,33.09069167,-117.01983611,7.0,2.0,0.0,8.1,19: Culvert,1: Concrete,OLD MILKY WAY,175FT E/O SAN PASQUAL RD,SAN PASQUAL VALLEY CREEK,2024/03/12 09:19:32+00,-13026589.8937,3907348.6011,37981
Local,57C0439,POMERADO CREEK (POMERADO RD),District 11,11,San Diego,SD,POWAY,00000,0.0,1970.0,56.0,1970,32.95491667,-117.06256389,13.4,3.0,0.0,29.6,19: Culvert,1: Concrete,POMERADO RD,AT ROBISON BLVD,POMERADO CREEK,2024/03/12 09:19:32+00,-13031346.3279,3889322.0688,37982
Local,57C0440,SAN VICENTE CRK (WILLOW RD),District 11,11,San Diego,SD,00000,00000,0.0,1982.0,44.0,1980,32.87528056,-116.92179444,65.0,3.0,0.0,14.6,02: Stringer/Multi-Beam,6: Prstr Conc Cont,WILLOW RD,0.2 MI E/O SR-67,SAN VICENTE CREEK,2024/03/12 09:19:32+00,-13015675.9416,3878761.8551,37983
Local,57C0441,GROVE CRK (MISSION AVE),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1966.0,60.0,1960,33.127925,-117.09283889,16.2,1.0,0.0,23.2,05: Box Beam Or Gdr - Mu,5: Prestress Conc,MISSION AVE,0.1 MI W/O CIVIC CEN PKWY,GROVE CREEK,2024/03/12 09:19:32+00,-13034716.5275,3912296.8434,37984
Local,57C0442,REIDY CRK (QUINCE ST),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1966.0,60.0,1960,33.12653056,-117.09292778,22.3,1.0,0.0,18.7,02: Stringer/Multi-Beam,5: Prestress Conc,QUINCE ST,420FT S/O MISSION AVE,REIDY CREEK,2024/03/12 09:19:32+00,-13034726.4225,3912111.4864,37985
Local,57C0443,REIDY CRK (LINCOLN AVE),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1966.0,60.0,1960,33.13158333,-117.09421111,47.8,4.0,0.0,12.8,19: Culvert,1: Concrete,LINCOLN AVE,0.3M E/O ROCK SPRNGS RD,REIDY CREEK,2024/03/12 09:19:32+00,-13034869.2826,3912783.1424,37986
Local,57C0444,REIDY CRK (WASHINGTON/SPRUCE),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1966.0,60.0,1960,33.12360833,-117.09454444,15.0,2.0,0.0,45.3,01: Slab,1: Concrete,WASHINGTON AVE,0.4M E/O RTE 15,REIDY CREEK,2024/03/12 09:19:32+00,-13034906.3891,3911723.0586,37987
Local,57C0445,ESCONDIDO CRK (HARMONY GROVE RD),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1967.0,59.0,1960,33.10942778,-117.11190556,32.9,2.0,0.0,11.3,05: Box Beam Or Gdr - Mu,5: Prestress Conc,HARMONY GROVE RD,.1 MI E/O HOWARD ST,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13036839.0193,3909838.3336,37988
Local,57C0446,ESCONDIDO CRK (TULIP ST),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1967.0,59.0,1960,33.11863056,-117.09675278,34.4,2.0,0.0,24.4,05: Box Beam Or Gdr - Mu,5: Prestress Conc,TULIP ST,0.12M N/O VALLEY PKWY,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13035152.2196,3911061.432,37989
Local,57C0447,ESCONDIDO CRK (QUINCE ST),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1965.0,61.0,1960,33.12039167,-117.089775,19.2,1.0,0.0,22.8,05: Box Beam Or Gdr - Mu,5: Prestress Conc,QUINCE STREET,0.1M N/O VALLEY PARKWAY,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13034375.4568,3911295.5077,37990
Local,57C0448,ESCONDIDO CRK (ESCONDIDO BLVD),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1966.0,60.0,1960,33.12316111,-117.08607222,11.6,1.0,0.0,22.9,01: Slab,5: Prestress Conc,ESCONDIDO BLVD,0.3 MI S WASHINGTON BL,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13033963.2654,3911663.6141,37991
Local,57C0450,ESCONDIDO CRK (BEVEN DR),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1972.0,54.0,1970,33.15639722,-117.03346111,16.8,1.0,0.0,21.6,05: Box Beam Or Gdr - Mu,5: Prestress Conc,BEVEN DR,0.2 MI WEST OF ROUTE S-6,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13028106.6226,3916082.1667,37992
Local,57C0451,ESCONDIDO CRK (JUNIPER ST),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1966.0,60.0,1960,33.12683333,-117.081525,21.6,2.0,0.0,15.2,01: Slab,5: Prestress Conc,JUNIPER ST,0.1 MI S/O RTE 78,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13033457.071,3912151.733,37993
Local,57C0452,ESCONDIDO CRK (HICKORY ST),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1966.0,60.0,1960,33.12724444,-117.07756111,23.5,2.0,0.0,15.2,01: Slab,5: Prestress Conc,HICKORY ST,0.1 MI S/O RTE 78,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13033015.8128,3912206.3799,37994
Local,57C0453,ESCONDIDO CRK (FIG ST),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1966.0,60.0,1960,33.12816944,-117.07446944,21.3,1.0,0.0,11.3,05: Box Beam Or Gdr - Mu,5: Prestress Conc,FIG ST,0.1 MI S/O RTE 78,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13032671.6499,3912329.3366,37995
Local,57C0454,ESCONDIDO CRK (ROSE AVE),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1970.0,56.0,1970,33.13516111,-117.06015833,21.6,1.0,0.0,15.8,05: Box Beam Or Gdr - Mu,5: Prestress Conc,ROSE AVE,0.1 MI N/O VALLEY PKWY,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13031078.5441,3913258.7531,37996
Local,57C0455,ESCONDIDO CRK (MIDWAY DR),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1970.0,56.0,1970,33.14045833,-117.05343056,21.0,1.0,0.0,19.5,05: Box Beam Or Gdr - Mu,5: Prestress Conc,MIDWAY DR,0.2 MI N/O VALLEY PKWY,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13030329.6112,3913962.973,37997
Local,57C0456,ESCONDIDO CRK (CITRUS AVE),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1971.0,55.0,1970,33.145175,-117.04706111,17.7,1.0,0.0,15.8,05: Box Beam Or Gdr - Mu,5: Prestress Conc,CITRUS AVE,0.3 MI N/O VALLEY PKWY,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13029620.5678,3914590.0487,37998
Local,57C0457,TWIN OAKS VALLEY ROAD OH,District 11,11,San Diego,SD,SAN MARCOS,00000,0.0,1977.0,49.0,1970,33.1424,-117.16322222,68.0,3.0,2.0,24.9,04: Tee Beam,2: Concrete Cont,TWIN OAKS VALLEY R,475 FT N/O W.SAN MARCOS,"MISSION RD,BNSF RR,NCTD",2024/03/12 09:19:32+00,-13042551.5658,3914221.1105,37999
Local,57C0458,ESCONDIDO CRK (BROADWAY),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1954.0,72.0,1950,33.12534444,-117.08304167,26.8,3.0,0.0,19.5,01: Slab,1: Concrete,BROADWAY,0.1 MI S OF ROUTE 78,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13033625.9056,3911953.8245,38000
Local,57C0464L,CHOLLAS CRK (MARKET ST W/B),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1940.0,86.0,1940,32.71185556,-117.12082778,23.2,3.0,0.0,16.2,04: Tee Beam,1: Concrete,MARKET ST,0.1 MI W/O SR15,CHOLLAS CREEK,2024/03/12 09:19:32+00,-13037832.2336,3857120.3964,38001
Local,57C0464R,CHOLLAS CRK (MARKET ST E/B),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1952.0,74.0,1950,32.71165278,-117.12097222,21.0,2.0,0.0,15.2,01: Slab,2: Concrete Cont,MARKET ST,450 FT W/O SR15,CHOLLAS CREEK,2024/03/12 09:19:32+00,-13037848.313,3857093.5683,38002
Local,57C0465,AL BAHR DRIVE UC (CRESPO DR),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1949.0,77.0,1940,32.84381389,-117.26518056,34.1,5.0,0.0,6.1,11: Arch - Deck,2: Concrete Cont,CRESPO DR,0.1 MI S/O SOLEDAD AVE,AL BAHR DRIVE,2024/03/12 09:19:32+00,-13053901.5151,3874591.804,38003
Local,57C0466,CASTELLANA ROAD UC (PUENTE DR),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1949.0,77.0,1940,32.84544722,-117.25990833,29.9,4.0,0.0,5.5,07: Frame (Except Frame,2: Concrete Cont,PUENTE DR,0.18 MI E/O CRESPO DRIVE,CASTELLANA ROAD,2024/03/12 09:19:32+00,-13053314.6138,3874808.2214,38004
